7.01,19
7.029999999999999,24
7.05,29
7.069999999999999,17
7.09,24
7.109999999999999,19
7.13,26
7.149999999999999,21
7.17,28
7.19,22
7.21,20
7.23,20
7.25,17
7.27,21
7.29,27
7.31,15
7.33,21
7.35,23
7.37,26
7.39,28
7.41,14
7.43,22
7.45,19
7.47,17
7.49,29
7.51,25
7.529999999999999,30
7.55,25
7.57,16
7.59,11
7.609999999999999,19
7.63,28
7.649999999999999,20
7.67,16
7.69,15
7.71,27
7.73,25
7.75,22
7.77,30
7.79,26
7.81,15
7.83,18
7.85,27
7.87,17
7.89,24
7.91,25
7.93,30
7.95,14
7.97,20
7.99,22
8.01,19
8.029999999999999,24
8.050000000000001,25
8.07,25
8.09,26
8.109999999999999,23
8.129999999999999,24
8.15,18
8.17,20
8.19,30
8.209999999999999,24
8.23,22
8.25,26
8.27,16
8.289999999999999,24
8.31,22
8.33,27
8.35,20
8.369999999999999,28
8.390000000000001,17
8.41,35
8.43,22
8.449999999999999,16
8.469999999999999,18
8.49,18
8.51,17
8.529999999999999,23
8.550000000000001,25
8.57,21
8.59,22
8.609999999999999,23
8.629999999999999,25
8.65,21
8.67,19
8.69,25
8.709999999999999,23
8.73,21
8.75,27
8.77,22
8.789999999999999,25
8.81,21
8.83,27
8.85,25
8.869999999999999,29
8.890000000000001,29
8.91,30
8.93,27
8.949999999999999,22
8.969999999999999,25
8.99,28
9.01,29
9.029999999999999,35
9.050000000000001,31
9.07,31
9.09,28
9.109999999999999,27
9.129999999999999,38
9.15,30
9.17,32
9.19,32
9.210000000000001,28
9.23,27
9.25,38
9.27,45
9.289999999999999,50
9.31,66
9.33,62
9.35,71
9.369999999999999,53
9.390000000000001,53
9.41,41
9.43,37
9.449999999999999,37
9.469999999999999,36
9.49,40
9.51,50
9.529999999999999,32
9.550000000000001,50
9.57,48
9.59,50
9.609999999999999,55
9.629999999999999,44
9.65,50
9.67,50
9.69,66
9.710000000000001,58
9.73,53
9.75,52
9.77,44
9.789999999999999,56
9.81,56
9.83,56
9.85,56
9.869999999999999,71
9.890000000000001,74
9.91,62
9.93,69
9.949999999999999,59
9.969999999999999,77
9.99,53
10.01,83
10.03,77
10.05,74
10.07,71
10.09,64
10.11,92
10.13,79
10.15,67
10.17,85
10.19,86
10.21,88
10.23,92
10.25,104
10.27,96
10.29,102
10.31,86
10.33,112
10.35,128
10.37,125
10.39,123
10.41,121
10.43,94
10.45,119
10.47,117
10.49,137
10.51,110
10.53,128
10.55,132
10.57,139
10.59,159
10.61,159
10.63,269
10.65,552
10.67,829
10.69,835
10.71,590
10.73,380
10.75,471
10.77,493
10.79,353
10.81,156
10.83,149
10.85,144
10.87,169
10.89,188
10.91,161
10.93,172
10.95,156
10.97,193
10.99,166
11.01,161
11.03,207
11.05,207
11.07,190
11.09,225
11.11,216
11.13,204
11.15,240
11.17,222
11.19,237
11.21,237
11.23,246
11.25,272
11.27,243
11.29,276
11.31,250
11.33,262
11.35,250
11.37,246
11.39,276
11.41,289
11.43,292
11.45,306
11.47,296
11.49,299
11.51,289
11.53,328
11.55,328
11.57,292
11.59,331
11.61,306
11.63,292
11.65,335
11.67,339
11.69,353
11.71,339
11.73,350
11.75,350
11.77,388
11.79,376
11.81,376
11.83,388
11.85,392
11.87,428
11.89,400
11.91,408
11.93,400
11.95,449
11.97,445
11.99,454
